"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","건13","-","-","41,965","-","-","-"
"1","활가리비","홋카이도","2015-09-04","11,500","불검출","불검출","적합"
"2","활가리비","홋카이도","2015-09-04","7,000","불검출","불검출","적합"
"3","활가리비","홋카이도","2015-09-04","7,000","불검출","불검출","적합"
"4","활가리비","홋카이도","2015-09-04","7,000","불검출","불검출","적합"
"5","활돔 쥐돔(
)","나가사키현","2015-09-04","719","불검출","불검출","적합"
"6","냉장돔 황돔(
)","나가사키현","2015-09-04","147","불검출","불검출","적합"
"7","냉장돔 참돔(
)","나가사키현","2015-09-04","192","불검출","불검출","적합"
"8","냉장돔 참돔(
)","나가사키현","2015-09-04","488","불검출","불검출","적합"
"9","냉장갈치","오이타현","2015-09-04","105","불검출","불검출","적합"
"10","냉장돔 황돔(
)","후쿠오카현","2015-09-04","116","불검출","불검출","적합"
"11","냉장준치","구마모토현","2015-09-04","238","불검출","불검출","적합"
"12","냉장돔 황돔(
)","나가사키현","2015-09-04","496","불검출","불검출","적합"
"13","활가리비","홋카이도","2015-09-04","6,964","불검출","불검출","적합"
