"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","건20","-","-","56,471","-","-","-"
"1","냉동큰실말","오키나와현","2015-09-07","600","불검출","불검출","적합"
"2","활돔 참돔(
)","나가사키현","2015-09-07","9,735","불검출","불검출","적합"
"3","활가리비","홋카이도","2015-09-07","7,000","불검출","불검출","적합"
"4","활가리비","홋카이도","2015-09-07","6,928","불검출","불검출","적합"
"5","냉동상어
(
청상아리
,F)","태평양","2015-09-07","4,093","불검출","불검출","적합"
"6","냉동상어
(
청상아리
,F)","인도양","2015-09-07","2,270","불검출","불검출","적합"
"7","냉장명태","홋카이도","2015-09-07","900","불검출","불검출","적합"
"8","냉장돔 참돔(
)","후쿠오카현","2015-09-07","75","불검출","불검출","적합"
"9","냉장돔 황돔(
)","나가사키현","2015-09-07","112","불검출","불검출","적합"
"10","냉장돔 참돔(
)","오이타현","2015-09-07","865","불검출","불검출","적합"
"11","냉장갈치","오이타현","2015-09-07","1,365","불검출","불검출","적합"
"12","활가리비","홋카이도","2015-09-07","6,932","불검출","불검출","적합"
"13","냉동어란
(
연어알캐비아대용
,
)","홋카이도","2015-09-07","100","불검출","불검출","적합"
"14","활장어 먹장어
(
)","후쿠오카현","2015-09-07","3,148","불검출","불검출","적합"
"15","활장어 먹장어
(
)","후쿠오카현","2015-09-07","1,899","불검출","불검출","적합"
"16","냉동다랑어
(
눈다랑어 목살
,
)","태평양","2015-09-07","296","불검출","불검출","적합"
