"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 144건","","","","391,025","","",""
"1","소스","사가현","2018-10-09","317","불검출","불검출","적합"
"2","소스","사가현","2018-10-13","36","불검출","불검출","적합"
"3","커피/건조","브라질","2016-12-29","22,500","불검출","불검출","적합"
"4","음료베이스","가나가와현","2018-09-26","1,147","불검출","불검출","적합"
"5","기타가공품","지바현","2018-11-08","137","불검출","불검출","적합"
"6","고형차","교토부","","514","불검출","불검출","적합"
"7","혼합제제","효고현","2018-11-29","34","불검출","불검출","적합"
"8","합성향료","나가노현","2018-12-04","75","불검출","불검출","적합"
"9","혼합제제","효고현","2018-11-26","105","불검출","불검출","적합"
"10","밀크초콜릿","훗카이도","2018-11-28","162","불검출","불검출","적합"
"11","밀크초콜릿","훗카이도","2018-11-28","162","불검출","불검출","적합"
"12","청주","야마가타현","2018-11-26","432","불검출","불검출","적합"
"13","청주","야마가타현","2018-04-25","130","불검출","불검출","적합"
"14","알긴산나트륨","와카야마현","2018-10-23","40","불검출","불검출","적합"
