"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 133건","","","","598,881","","",""
"1","소스","아이치현","2018-12-21","2,093","불검출","불검출","적합"
"2","가공두부","후쿠오카현","2019-01-07","2,516","불검출","불검출","적합"
"3","L-트립토판","야마구치현","2018-07-09","50","불검출","불검출","적합"
"4","소스","히로시마현","2018-12-28","3,000","불검출","불검출","적합"
"5","전분","가고시마현","2017-11-20","18,500","불검출","불검출","적합"
"6","양조간장","효고현","2018-11-26","27,803","불검출","불검출","적합"
"7","양조간장","효고현","2018-12-06","27,597","불검출","불검출","적합"
"8","복합조미식품","오사카부","2019-01-07","6,000","불검출","불검출","적합"
"9","복합조미식품","오사카부","2019-01-07","4,000","불검출","불검출","적합"
"10","전분가공품","효고현","2018-12-25","16,000","불검출","불검출","적합"
"11","소스","에히메현","2018-12-21","216","불검출","불검출","적합"
"12","복합조미식품","에히메현","2018-11-24","1,000","불검출","불검출","적합"
"13","과자","히로시마현","2018-12-24","77","불검출","불검출","적합"
"14","혼합제제","오사카부","2018-11-28","36","불검출","불검출","적합"
