"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 121건","","","","453,109","","",""
"1","과자","히로시마현","2018-04-24","32","불검출","불검출","적합"
"2","과자","히로시마현","2018-04-24","32","불검출","불검출","적합"
"3","청주","히로시마현","2018-05-01","63","불검출","불검출","적합"
"4","청주","히로시마현","2018-05-01","180","불검출","불검출","적합"
"5","청주","히로시마현","2018-05-01","180","불검출","불검출","적합"
"6","환자용식품","가나가와현","2018-04-18","32","불검출","불검출","적합"
"7","어묵","이시카와현","2018-05-08","144","불검출","불검출","적합"
"8","절임식품","와카야마현","2018-05-09","240","불검출","불검출","적합"
"9","기타 수산물가공품","후쿠시마현","2017-09-11","120","불검출","불검출","적합"
"10","금박","교토부","2018-05-14","0","불검출","불검출","적합"
"11","기타 수산물가공품","후쿠시마현","2018-04-30","420","불검출","불검출","적합"
"12","양념젓갈","가나가와현","2018-05-17","600","불검출","불검출","적합"
"13","절임식품","와카야마현","2018-05-14","58","불검출","불검출","적합"
"14","혼합제제","오사카부","2018-05-14","150","불검출","불검출","적합"
"15","절임식품","미야자키현","2018-05-14","120","불검출","불검출","적합"
