"","","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"순번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","59건","","917,778","","",""
"1","캔디류(사탕)","야마나시현","2014-08-25","102","불검출","불검출","적합"
"2","캔디류(사탕)","아이치현","2014-12-15","300","불검출","불검출","적합"
"3","국수","아이치현","2014-11-27","2,217.6","불검출","불검출","적합"
"4","당류가공품","교토부","2014-09-15","114","불검출","불검출","적합"
"5","맥주","오이타현","2014-12-06","82,800","불검출","불검출","적합"
"6","소스류","에히메현","2014-12-05","2,235.6","불검출","불검출","적합"
"7","카레","나가노현","2014-12-03","8,910","불검출","불검출","적합"
"8","초콜릿가공품","이바라키현","2014-11-01","486","불검출","불검출","적합"
"9","소스류","에히메현","2014-12-15","5,511.96","불검출","불검출","적합"
"10","빵류(파이)","훗카이도","2014-12-15","30","불검출","불검출","적합"
"11","맥주","시즈오카현","2014-08-20","237.6","불검출","불검출","적합"
"12","맥주","시즈오카현","2014-09-01","475.2","불검출","불검출","적합"
