"","","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"순번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","66건","","83,907","","",""
"1","기타가공품","가가와현","2014-11-14","18","불검출","불검출","적합"
"2","혼합장","효고현","2014-11-18","108","불검출","불검출","적합"
"3","마요네즈","효고현","2014-11-26","4,000","불검출","불검출","적합"
"4","혼합제제","효고현","2014-10-02","50","불검출","불검출","적합"
"5","캔디류(사탕)","아이치현","2014-11-26","100","불검출","불검출","적합"
"6","빵류(케이크)","가나가와현","2014-09-12","65.7","불검출","불검출","적합"
"7","양조간장","후쿠오카현","2014-12-25","6,630.6","불검출","불검출","적합"
"8","당류가공품","교토부","2014-09-17","174","불검출","불검출","적합"
"9","당류가공품","교토부","2014-08-11","132","불검출","불검출","적합"
"10","기타가공품","사이타마현","2014-11-19","100","불검출","불검출","적합"
"11","기타가공품","사이타마현","2014-11-19","30","불검출","불검출","적합"
"12","기타가공품","사이타마현","2014-11-19","200","불검출","불검출","적합"
