"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","120건","","908,236","","",""
"1","이산화탄소","사이타마현","2014-08-10","16,699","불검출","불검출","적합"
"2","밀크초콜릿","시즈오카현","2014-11-07","6.93","불검출","불검출","적합"
"3","밀크초콜릿","시즈오카현","2014-10-25","3","불검출","불검출","적합"
"4","밀크초콜릿","시즈오카현","2014-10-25","19.02","불검출","불검출","적합"
"5","준초콜릿","시즈오카현","2014-11-03","3.6","불검출","불검출","적합"
"6","밀크초콜릿","시즈오카현","2014-11-03","4.13","불검출","불검출","적합"
"7","침출차","오사카부","2014-10-27","96.75","불검출","불검출","적합"
"8","건어포류","가고시마현","2014-10-29","1,182","불검출","불검출","적합"
"9","수산물가공품","오사카부","2014-10-14","300","불검출","불검출","적합"
"10","건어포류","오사카부","2014-10-14","300","불검출","불검출","적합"
"11","볶은커피","효고현","2014-11-01","1,800","불검출","불검출","적합"
"12","당류가공품","교토부","2014-08-19","108","불검출","불검출","적합"
