"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","75건","","108,935","","",""
"1","혼합제제","와카야마현","2014-10-31","210","불검출","불검출","적합"
"2","덱스트린","효고현","2014-10-16","4,000","불검출","불검출","적합"
"3","혼합제제","오카야마현","2014-11-05","75","불검출","불검출","적합"
"4","떡류","니가타현","2014-10-27","1,035","불검출","불검출","적합"
"5","떡류","니가타현","2014-10-27","1,149","불검출","불검출","적합"
"6","떡류","니가타현","2014-10-27","684","불검출","불검출","적합"
"7","떡류","니가타현","2014-10-27","228","불검출","불검출","적합"
"8","떡류","니가타현","2014-10-27","684","불검출","불검출","적합"
"9","떡류","니가타현","2014-10-27","570","불검출","불검출","적합"
"10","떡류","니가타현","2014-10-27","456","불검출","불검출","적합"
"11","떡류","니가타현","2014-10-27","693","불검출","불검출","적합"
"12","떡류","니가타현","2014-10-27","342","불검출","불검출","적합"
