"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","61건","","73,503","","",""
"1","청주","오카야마현","2014-10-29","64.8","불검출","불검출","적합"
"2","액상차","미에현","2014-10-17","660","불검출","불검출","적합"
"3","캔디류(캐러멜)","훗카이도","2014-09-26","72.24","불검출","불검출","적합"
"4","액상차","미에현","2014-10-26","324","불검출","불검출","적합"
"5","캔디류(캐러멜)","훗카이도","2014-08-28","72.24","불검출","불검출","적합"
"6","캔디류(캐러멜)","훗카이도","2014-09-26","72.24","불검출","불검출","적합"
"7","캔디류(캐러멜)","훗카이도","2014-09-26","72.24","불검출","불검출","적합"
"8","복합조미식품","가고시마현","2014-11-06","52","불검출","불검출","적합"
"9","청주","기후현","2014-11-04","799.2","불검출","불검출","적합"
"10","테아닌(원료성)","미에현","2014-07-31","20","불검출","불검출","적합"
"11","카레","나라현","2014-10-20","600","불검출","불검출","적합"
"12","카레","나라현","2014-10-16","600","불검출","불검출","적합"
"13","기타장류","효고현","2014-10-31","864","불검출","불검출","적합"
"14","과자(쿠키)","오카야마현","2014-10-29","270","불검출","불검출","적합"
"15","과자(스낵과자)","야마가타현","2014-11-05","90","불검출","불검출","적합"
"16","볶은커피","돗토리현","2014-11-10","120","불검출","불검출","적합"
"17","볶은커피","돗토리현","2014-11-11","120","불검출","불검출","적합"
