"순번","품      목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"35","냉장돔(황돔)","야마구치현","2017-01-23","2,230","불검출","불검출","적합"
"36","냉장가오리","야마구치현","2017-01-23","708","불검출","불검출","적합"
"37","냉장갈치","와카야마현","2017-01-23","336","불검출","불검출","적합"
"38","냉장명태","홋카이도","2017-01-23","6,000","불검출","불검출","적합"
"39","냉동다랑어
(남방참다랑어,목살)","대서양","2017-01-23","1,115","불검출","불검출","적합"
"40","냉동다랑어
(눈다랑어,목살)","태평양","2017-01-23","1,510","불검출","불검출","적합"
"41","냉동다랑어
(눈다랑어,F,횟감)","태평양","2017-01-23","2,412","불검출","불검출","적합"
"42","냉장갈치","오이타현","2017-01-23","685","불검출","불검출","적합"
"43","냉장갈치","후쿠오카현","2017-01-23","805","불검출","불검출","적합"
"44","활장어(먹장어)","나가사키현","2017-01-23","475","불검출","불검출","적합"
"45","냉동기름치","태평양","2017-01-23","54,272","불검출","불검출","적합"
