"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 83건","","","","643,009","","",""
"1","혼합장","아이치현","2018-06-14","12,000","불검출","불검출","적합"
"2","혼합장","아이치현","2018-06-11","7,000","불검출","불검출","적합"
"3","혼합제제","오사카부","2018-06-22","60","불검출","불검출","적합"
"4","캔디류","아이치현","2018-05-02","384","불검출","불검출","적합"
"5","캔디류","아이치현","2018-05-06","216","불검출","불검출","적합"
"6","소스","후쿠오카현","2018-06-14","1,010","불검출","불검출","적합"
"7","캔디류","오사카부","2018-06-19","370","불검출","불검출","적합"
"8","캔디류","오사카부","2018-06-20","370","불검출","불검출","적합"
"9","캔디류","오사카부","2018-06-19","370","불검출","불검출","적합"
"10","혼합제제","효고현","2018-06-26","17","불검출","불검출","적합"
"11","혼합제제","효고현","2018-06-29","51","불검출","불검출","적합"
"12","혼합제제","효고현","2018-06-21","170","불검출","불검출","적합"
"13","혼합제제","미에현","2018-04-16","160","불검출","불검출","적합"
"14","혼합제제","효고현","2018-06-29","17","불검출","불검출","적합"
"15","캔디류","아이치현","2018-05-02","360","불검출","불검출","적합"
