"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 117건","","","","459,205","","",""
"1","소스","시즈오카현","2018-06-04","263","불검출","불검출","적합"
"2","곡류가공품","시즈오카현","","2,300","불검출","불검출","적합"
"3","향신료조제품","사이타마현","2017-03-14","72","불검출","불검출","적합"
"4","캔디류","나가사키현","2018-05-24","96","불검출","불검출","적합"
"5","락타아제","아이치현","2018-04-20","30","불검출","불검출","적합"
"6","떡류","니가타현","2018-04-05","66","불검출","불검출","적합"
"7","건면","아이치현","2018-03-01","76","불검출","불검출","적합"
"8","소스","아이치현","2018-04-03","91","불검출","불검출","적합"
"9","건면","미야기현","2018-06-01","181","불검출","불검출","적합"
"10","생면","히로시마현","2017-11-29","7,200","불검출","불검출","적합"
"11","소스","지바현","2017-11-30","387","불검출","불검출","적합"
"12","향신료조제품","시즈오카현","2018-02-20","89","불검출","불검출","적합"
"13","과자","야마가타현","2018-06-08","153","불검출","불검출","적합"
"14","빵류","나가노현","2018-06-19","220","불검출","불검출","적합"
"15","맥주","후쿠오카현","2018-06-07","172,778","불검출","불검출","적합"
