"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:100Bq/kg)","",""
"총 102건","","","","1,015,908","","",""
"1","과자","도쿠시마현","2019-04-11","462","불검출","불검출","적합"
"2","과자","니가타현","2019-04-15","171","불검출","불검출","적합"
"3","복합조미식품","교토부","2019-03-09","1,400","불검출","불검출","적합"
"4","기타설탕","나라현","2019-02-20","224","불검출","불검출","적합"
"5","기타설탕","나라현","2019-03-08","248","불검출","불검출","적합"
"6","청주","효고현","2019-03-07","95","불검출","불검출","적합"
"7","청주","효고현","2019-03-01","143","불검출","불검출","적합"
"8","고추냉이/신선,냉장","나가사키현","2019-05-07","28","불검출","불검출","적합"
"9","복합조미식품","가나가와현","2019-02-24","700","불검출","불검출","적합"
"10","복합조미식품","가나가와현","2018-10-22","500","불검출","불검출","적합"
"11","효모식품","가나가와현","2019-02-13","100","불검출","불검출","적합"
"12","트랜스글루타미나아제","가나가와현","2019-03-19","100","불검출","불검출","적합"
"13","트랜스글루타미나아제","가나가와현","2019-02-16","250","불검출","불검출","적합"
"14","혼합음료","사이타마현","2019-02-01","1,950","불검출","불검출","적합"
"15","음료베이스","가나가와현","2019-03-05","49","불검출","불검출","적합"
