"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 90건","","","","168,148","","",""
"1","혼합식용유","오사카부","2019-01-15","120","불검출","불검출","적합"
"2","빵류","훗카이도","2019-02-16","1,940","불검출","불검출","적합"
"3","빵류","훗카이도","2019-02-22","9,216","불검출","불검출","적합"
"4","빵류","훗카이도","2019-02-25","2,074","불검출","불검출","적합"
"5","과자","훗카이도","2019-02-16","130","불검출","불검출","적합"
"6","글루코아밀라아제","아이치현","2019-02-02","100","불검출","불검출","적합"
"7","과자","니가타현","2019-02-06","30","불검출","불검출","적합"
"8","과자","니가타현","2019-02-04","380","불검출","불검출","적합"
"9","d-토코페롤(혼합형)","야마나시현","2018-11-23","10","불검출","불검출","적합"
"10","소스","도치기현","2019-02-04","12,355","불검출","불검출","적합"
"11","소스","도치기현","2018-12-10","12,291","불검출","불검출","적합"
"12","향신료조제품","오사카부","2019-02-20","4","불검출","불검출","적합"
"13","캔디류","아이치현","2019-02-13","2,680","불검출","불검출","적합"
"14","캔디류","아이치현","2019-02-09","2,725","불검출","불검출","적합"
