"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 110건","","","","627,456","","",""
"1","소스","나가사키현","2018-07-04","1,265","불검출","불검출","적합"
"2","소스","나가사키현","2018-06-30","5,326","불검출","불검출","적합"
"3","소스","나가사키현","2018-06-22","627","불검출","불검출","적합"
"4","소스","나가사키현","2018-01-17","1,285","불검출","불검출","적합"
"5","곡류가공품","나가사키현","2018-07-03","950","불검출","불검출","적합"
"6","소스","나가사키현","2018-07-04","3,011","불검출","불검출","적합"
"7","소스","나가사키현","2018-03-17","706","불검출","불검출","적합"
"8","복합조미식품","교토부","2018-06-20","1,000","불검출","불검출","적합"
"9","글리세린지방산
에스테르","미에현","2018-05-23","224","불검출","불검출","적합"
"10","녹차추출물
/알로에전잎","기후현","2018-07-19","1,149","불검출","불검출","적합"
"11","청주","기후현","2018-07-20","65","불검출","불검출","적합"
"12","소스","사이타마현","2018-05-07","428","불검출","불검출","적합"
"13","향신료조제품","나가노현","2018-05-31","1,290","불검출","불검출","적합"
"14","혼합제제","시즈오카현","2018-07-13","50","불검출","불검출","적합"
