"순번","품목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"1","냉장명태","홋카이도","2019-08-20","782","불검출","불검출","적합"
"2","활우렁쉥이","홋카이도","2019-08-20","9,004","불검출","불검출","적합"
"3","활가리비","홋카이도","2019-08-20","6,927","불검출","불검출","적합"
"4","냉장홍어","홋카이도","2019-08-20","620","불검출","불검출","적합"
"5","활가리비","홋카이도","2019-08-20","14,000","불검출","불검출","적합"
"6","냉장명태","홋카이도","2019-08-20","660","불검출","불검출","적합"
"7","냉장홍어","홋카이도","2019-08-20","70","불검출","불검출","적합"
"8","냉장명태","홋카이도","2019-08-20","1,746","불검출","불검출","적합"
"9","냉장명태","홋카이도","2019-08-20","608","불검출","불검출","적합"
"10","활가리비","홋카이도","2019-08-20","6,689","불검출","불검출","적합"
"11","활장어(먹장어)","시마네현","2019-08-20","944","불검출","불검출","적합"
"합계","","-","-","42,050","-","-","-"
