"순번","품목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:
50Bq/Kg)","요오드
(기준:
100Bq/Kg)","판정"
"합계","","-","-","6,516","-","-","-"
"1","가공치즈","사이타마현","2019-08-20","810","불검출","불검출","적합"
"2","가공치즈","사이타마현","2019-08-20","1,008","불검출","불검출","적합"
"3","아이스크림","훗카이도","2019-08-20","342","불검출","불검출","적합"
"4","아이스크림","훗카이도","2019-08-20","396","불검출","불검출","적합"
"5","아이스크림","훗카이도","2019-08-20","494","불검출","불검출","적합"
"6","아이스밀크","훗카이도","2019-08-20","514","불검출","불검출","적합"
"7","아이스크림","훗카이도","2019-08-20","517","불검출","불검출","적합"
"8","아이스크림","훗카이도","2019-08-20","612","불검출","불검출","적합"
"9","아이스크림","훗카이도","2019-08-20","832","불검출","불검출","적합"
"10","아이스크림","훗카이도","2019-08-20","991","불검출","불검출","적합"
