"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 80건","","","","152,608","","",""
"1","된장","히로시마현","2017-06-09","260","불검출","불검출","적합"
"2","된장","히로시마현","2017-06-09","80","불검출","불검출","적합"
"3","양조간장","지바현","2017-05-31","7,200","불검출","불검출","적합"
"4","캔디류(사탕)","도야마현","2017-05-15","139","불검출","불검출","적합"
"5","과자(쿠키)","이바라키현","2017-06-12","120","불검출","불검출","적합"
"6","과자(쿠키)","이바라키현","2017-06-05","132","불검출","불검출","적합"
"7","과자(비스킷)","이바라키현","2017-06-13","79","불검출","불검출","적합"
"8","과자(비스킷)","이바라키현","2017-06-20","214","불검출","불검출","적합"
"9","과자(비스킷)","이바라키현","2017-06-20","447","불검출","불검출","적합"
"10","혼합제제","미에현","2017-06-28","600","불검출","불검출","적합"
"11","즉석조리식품","나가노현","2017-06-20","288","불검출","불검출","적합"
"12","혼합장","나가노현","2017-06-21","3,168","불검출","불검출","적합"
"13","초콜릿가공품","이바라키현","2017-06-26","626","불검출","불검출","적합"
