"","","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"순번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","112","","227,569","","",""
"1","건어포류","에히메현","2015-01-08","80","불검출","불검출","적합"
"2","국수","가가와현","2015-02-03","1,800","불검출","불검출","적합"
"3","국수","후쿠오카현","2015-02-03","3,000","불검출","불검출","적합"
"4","액상커피","효고현","2015-01-26","3,330","불검출","불검출","적합"
"5","볶은커피","사이타마현","2015-01-26","600","불검출","불검출","적합"
"6","기타설탕","오사카부","2014-12-21","8,000","불검출","불검출","적합"
"7","소스류","나가사키현","2015-02-03","1,291.62","불검출","불검출","적합"
"8","소스류","나가사키현","2015-01-30","10,032","불검출","불검출","적합"
"9","소스류","나가사키현","2015-01-29","259.2","불검출","불검출","적합"
"10","소스류","나가사키현","2015-01-31","3,690","불검출","불검출","적합"
"11","소스류","나가사키현","2015-01-31","2,866.5","불검출","불검출","적합"
"12","소스류","나가사키현","2015-01-31","1,177","불검출","불검출","적합"
