"","","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"순번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","107","","184,301","","",""
"1","트랜스글루타미나
아제","가나가와현","2014-12-10","20","불검출","불검출","적합"
"2","트랜스글루타미나
아제","가나가와현","2014-12-19","480","불검출","불검출","적합"
"3","트랜스글루타미나
아제","가나가와현","2015-01-12","180","불검출","불검출","적합"
"4","캔디류(사탕)","가나가와현","2015-01-23","314.4","불검출","불검출","적합"
"5","혼합제제","효고현","2015-02-17","68","불검출","불검출","적합"
"6","기타식초","도치기현","2014-11-15","460","불검출","불검출","적합"
"7","기타식초","도치기현","2015-01-07","1,290","불검출","불검출","적합"
"8","소스류","군마현","2014-12-20","750","불검출","불검출","적합"
"9","캔디류(젤리)","아이치현","2015-01-26","1,196","불검출","불검출","적합"
"10","캔디류(젤리)","아이치현","2015-01-26","1,196","불검출","불검출","적합"
"11","캔디류(젤리)","아이치현","2015-01-26","1,196","불검출","불검출","적합"
