"","","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"순번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","110","","640,510","","",""
"1","소스류","후쿠오카현","2015-01-14","960","불검출","불검출","적합"
"2","캔디류(젤리)","나가노현","2015-01-09","2,000","불검출","불검출","적합"
"3","캔디류(젤리)","나가노현","2015-01-13","101","불검출","불검출","적합"
"4","초콜릿가공품","나가노현","2015-01-15","653.17","불검출","불검출","적합"
"5","캔디류(젤리)","나가노현","2015-01-08","864","불검출","불검출","적합"
"6","카레","나가노현","2014-12-01","306","불검출","불검출","적합"
"7","카레분","사이타마현","2014-11-20","306","불검출","불검출","적합"
"8","전분가공품","오사카부","2015-01-21","900","불검출","불검출","적합"
"9","튀김식품","오이타현","2015-01-28","720","불검출","불검출","적합"
"10","곡류가공품","오사카부","2015-01-27","207","불검출","불검출","적합"
"11","수산물가공품","교토부","2015-01-30","6,213","불검출","불검출","적합"
"12","수산물가공품","히로시마현","2015-01-28","10","불검출","불검출","적합"
