"순번","품목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:
50Bq/Kg)","요오드
(기준:
100Bq/Kg)","판정"
"합계","","-","-","4,120","-","-","-"
"1","가공유크림","오사카부","2019-06-13","120","불검출","불검출","적합"
"2","가공유크림","오사카부","2019-06-13","120","불검출","불검출","적합"
"3","아이스크림","돗토리현","2019-06-13","118","불검출","불검출","적합"
"4","아이스크림","훗카이도","2019-06-13","128","불검출","불검출","적합"
"5","아이스크림","훗카이도","2019-06-13","291","불검출","불검출","적합"
"6","아이스밀크","훗카이도","2019-06-13","328","불검출","불검출","적합"
"7","아이스크림","훗카이도","2019-06-13","428","불검출","불검출","적합"
"8","아이스크림","훗카이도","2019-06-13","494","불검출","불검출","적합"
"9","아이스크림","훗카이도","2019-06-13","576","불검출","불검출","적합"
"10","아이스크림","훗카이도","2019-06-13","684","불검출","불검출","적합"
"11","아이스크림","훗카이도","2019-06-13","832","불검출","불검출","적합"
