"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:100Bq/kg)","",""
"총 145건","","","","775,934","","",""
"1","혼합제제","미에현","2019-06-12","306","불검출","불검출","적합"
"2","어묵","시마네현","2019-02-02","420","불검출","불검출","적합"
"3","어묵","시마네현","2019-05-17","180","불검출","불검출","적합"
"4","어묵","시마네현","2019-02-02","200","불검출","불검출","적합"
"5","어묵","시마네현","2019-05-02","900","불검출","불검출","적합"
"6","어묵","시마네현","2019-03-02","420","불검출","불검출","적합"
"7","어묵","시마네현","2019-03-17","3,180","불검출","불검출","적합"
"8","어묵","시마네현","2019-02-17","300","불검출","불검출","적합"
"9","어묵","시마네현","2019-01-17","2,024","불검출","불검출","적합"
"10","어묵","시마네현","2019-03-02","1,000","불검출","불검출","적합"
"11","어묵","시마네현","2019-05-02","71","불검출","불검출","적합"
"12","어묵","시마네현","2019-03-02","882","불검출","불검출","적합"
"13","어묵","시마네현","2019-03-17","672","불검출","불검출","적합"
"14","어묵","시마네현","2019-01-17","1,500","불검출","불검출","적합"
"15","L-글루탐산나트륨제제","시즈오카현","2019-05-20","1,005","불검출","불검출","적합"
