"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:100Bq/kg)","",""
"총 143건","","","","931,031","","",""
"1","혼합제제","효고현","2019-05-31","15","불검출","불검출","적합"
"2","혼합제제","효고현","2019-05-31","15","불검출","불검출","적합"
"3","혼합제제","효고현","2019-05-31","30","불검출","불검출","적합"
"4","혼합제제","효고현","2019-05-31","90","불검출","불검출","적합"
"5","혼합제제","효고현","2019-05-30","15","불검출","불검출","적합"
"6","혼합제제","효고현","2019-05-31","15","불검출","불검출","적합"
"7","즉석조리식품","가가와현","2019-02-26","4,992","불검출","불검출","적합"
"8","카레(커리)","나가노현","2019-02-20","6,677","불검출","불검출","적합"
"9","카레(커리)","나가노현","2019-03-15","2,233","불검출","불검출","적합"
"10","가공두부","나가노현","2019-03-13","737","불검출","불검출","적합"
"11","가공두부","나가노현","2019-05-21","5,502","불검출","불검출","적합"
"12","당절임","와카야마현","2019-04-23","240","불검출","불검출","적합"
"13","건면","사가현","2019-04-05","300","불검출","불검출","적합"
"14","당절임","와카야마현","2019-02-13","336","불검출","불검출","적합"
"15","복합조미식품","오사카부","2019-05-17","75","불검출","불검출","적합"
