"","","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"순번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","55건","","93,064","","",""
"1","기타가공품","히로시마현","2014-12-04","2,000","불검출","불검출","적합"
"2","발효식초","도쿄도","2014-12-01","1,440","불검출","불검출","적합"
"3","양조간장","아이치현","2014-11-29","216","불검출","불검출","적합"
"4","어묵","시마네현","2014-12-05","353","불검출","불검출","적합"
"5","어묵","시마네현","2014-11-17","600","불검출","불검출","적합"
"6","청주","효고현","2014-11-27","25,560","불검출","불검출","적합"
"7","청주","효고현","2014-11-27","13,500","불검출","불검출","적합"
"8","맥주","에히메현","2014-11-01","10","불검출","불검출","적합"
"9","청주","효고현","2014-12-10","130","불검출","불검출","적합"
"10","과자(비스킷)","이바라키현","2014-10-24","271","불검출","불검출","적합"
"11","과자(크래커)","이바라키현","2014-11-08","343","불검출","불검출","적합"
"12","과자(스낵과자)","나가노현","2014-12-10","2,688","불검출","불검출","적합"
