"","","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"순번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","44건","","273,443","","",""
"1","비타민","지바현","2014-08-01","238","불검출","불검출","적합"
"2","빵류(파이)","시즈오카현","2014-11-06","53","불검출","불검출","적합"
"3","빵류(케이크)","가나가와현","2014-09-25","98","불검출","불검출","적합"
"4","과자(스낵과자)","아이치현","2014-12-09","28","불검출","불검출","적합"
"5","혼합장","훗카이도","2014-12-12","2,541","불검출","불검출","적합"
"6","소스류","훗카이도","2014-12-09","4,551","불검출","불검출","적합"
"7","소스류","훗카이도","2014-12-04","966","불검출","불검출","적합"
"8","혼합장","훗카이도","2014-12-16","1,775","불검출","불검출","적합"
"9","빵류(케이크)","가나가와현","2014-11-01","76","불검출","불검출","적합"
"10","캔디류(사탕)","아이치현","2014-12-11","240","불검출","불검출","적합"
"11","과자(비스킷)","아이치현","2014-12-10","172","불검출","불검출","적합"
"12","청주","니가타현","2014-11-26","25,920","불검출","불검출","적합"
