"","","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"순번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","49건","","118,739","","",""
"1","소스류","히로시마현","2014-10-31","1,008","불검출","불검출","적합"
"2","소스류","히로시마현","2014-10-31","703","불검출","불검출","적합"
"3","액상커피","시가현","2014-12-12","22,500","불검출","불검출","적합"
"4","당류가공품","오사카부","2014-12-02","798","불검출","불검출","적합"
"5","당류가공품","오사카부","2014-12-01","820.8","불검출","불검출","적합"
"6","청주","효고현","2014-12-04","108","불검출","불검출","적합"
"7","청주","효고현","2014-11-04","43.2","불검출","불검출","적합"
"8","청주","효고현","2014-11-22","151.2","불검출","불검출","적합"
"9","청주","효고현","2014-10-01","43.2","불검출","불검출","적합"
"10","청주","효고현","2014-11-13","540","불검출","불검출","적합"
"11","청주","훗카이도","2014-11-25","79.2","불검출","불검출","적합"
"12","소스류","가나가와현","2014-12-02","274.5","불검출","불검출","적합"
