"","","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","144건","","135,860","","",""
"1","음료베이스","사이타마현","2014-08-21","50.4","불검출","불검출","적합"
"2","기타가공품","와카야마현","2014-09-27","3,000","불검출","불검출","적합"
"3","가공두부","오사카부","2014-11-12","336","불검출","불검출","적합"
"4","고형차","아이치현","2014-10-21","204.12","불검출","불검출","적합"
"5","캔디류(사탕)","도야마현","2014-11-12","208.8","불검출","불검출","적합"
"6","기타코코아가공품","시즈오카현","2014-10-21","150","불검출","불검출","적합"
"7","코코아분말","가나가와현","2014-10-19","105.6","불검출","불검출","적합"
"8","밀크초콜릿","가나가와현","2014-11-16","1,337.28","불검출","불검출","적합"
"9","캔디류(양갱)","도쿄도","2014-11-11","330","불검출","불검출","적합"
"10","과자(스낵과자)","아이치현","2014-11-18","702","불검출","불검출","적합"
"11","캔디류(사탕)","아이치현","2014-11-14","200","불검출","불검출","적합"
"12","캔디류(사탕)","아이치현","2014-11-14","240","불검출","불검출","적합"
"13","과자(비스킷)","아이치현","2014-11-17","273.6","불검출","불검출","적합"
"14","소스류","에히메현","2014-11-05","864","불검출","불검출","적합"
