"","","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","72건","","461,220","","",""
"1","기타가공품","사이타마현","2014-11-19","99","불검출","불검출","적합"
"2","청주","구마모토현","2014-10-23","79.2","불검출","불검출","적합"
"3","청주","구마모토현","2014-11-14","656.64","불검출","불검출","적합"
"4","청주","지바현","2014-11-18","158.4","불검출","불검출","적합"
"5","액상커피","시가현","2014-10-31","450","불검출","불검출","적합"
"6","맥주","오사카부","2014-10-16","19,031.04","불검출","불검출","적합"
"7","맥주","후쿠오카현","2014-11-10","157,140","불검출","불검출","적합"
"8","맥주","후쿠오카현","2014-10-29","100,800","불검출","불검출","적합"
"9","맥주","후쿠오카현","2014-11-13","33,196.8","불검출","불검출","적합"
"10","캔디류(사탕)","아이치현","2014-11-17","600","불검출","불검출","적합"
"11","과자(쿠키)","도쿠시마현","2014-11-15","288","불검출","불검출","적합"
"12","복합조미식품","히로시마현","2014-11-19","57.6","불검출","불검출","적합"
