"순 번","품목명","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"127","초콜릿가공품","후쿠오카현","2014-09-17","1,680","불검출","불검출","적합"
"128","초콜릿가공품","이바라키현","2014-10-01","810","불검출","불검출","적합"
"129","복합조미식품","구마모토현","2014-12-11","486","불검출","불검출","적합"
"130","복합조미식품","구마모토현","2014-12-11","338.4","불검출","불검출","적합"
"131","카레","나라현","2014-12-03","600","불검출","불검출","적합"
"132","혼합제제","오카야마현","2014-11-28","990","불검출","불검출","적합"
"133","향신료조제품
(고추냉이가공품)","도쿄도","2014-12-04","660","불검출","불검출","적합"
"134","향신료조제품
(고추냉이가공품)","도쿄도","2014-12-01","3,960","불검출","불검출","적합"
"135","혼합제제","후쿠시마현","2014-12-02","600","불검출","불검출","적합"
"136","복합조미식품","야마나시현","2014-11-19","204.2","불검출","불검출","적합"
"137","소스류","훗카이도","2014-12-01","1,640","불검출","불검출","적합"
"138","화이트초콜릿","훗카이도","2014-12-03","540","불검출","불검출","적합"
"139","덱스트린","효고현","2014-11-21","1,500","불검출","불검출","적합"
"140","덱스트린","효고현","2014-10-16","500","불검출","불검출","적합"
"141","장류절임","도치기현","2014-11-28","90","불검출","불검출","적합"
"142","식초절임
(생강절임)","도치기현","2014-11-28","100","불검출","불검출","적합"
"143","식염절임","사이타마현","2014-11-28","250","불검출","불검출","적합"
"144","식초절임","사이타마현","2014-11-28","48","불검출","불검출","적합"
