"","","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","55건","","152,334","","",""
"1","몰식자산","시즈오카현","2014-08-01","70","불검출","불검출","적합"
"2","혼합제제","효고현","2014-12-02","34","불검출","불검출","적합"
"3","과자(스낵과자)","사이타마현","2014-07-02","2,512","불검출","불검출","적합"
"4","백설탕","후쿠오카현","2014-08-08","600","불검출","불검출","적합"
"5","화이트초콜릿","사가현","2014-05-16","300","불검출","불검출","적합"
"6","소스류","지바현","2014-10-29","633","불검출","불검출","적합"
"7","소스류","도치기현","2014-10-14","150","불검출","불검출","적합"
"8","고형차","아이치현","2014-11-27","2,880","불검출","불검출","적합"
"9","복합조미식품","미에현","2014-11-03","45","불검출","불검출","적합"
"10","즉석조리식품","오카야마현","2014-11-27","700.8","불검출","불검출","적합"
"11","과자(비스킷)","니가타현","2014-11-10","77.76","불검출","불검출","적합"
"12","맥주","오이타현","2014-11-07","82,662","불검출","불검출","적합"
"13","곡류가공품","후쿠시마현","2014-10-31","100","불검출","불검출","적합"
