"순 번","품목명","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"14","복합조미식품","이바라키현","2014-10-29","50.4","불검출","불검출","적합"
"15","맥주","오이타현","2014-11-01","14,280","불검출","불검출","적합"
"16","갈락토올리고당","훗카이도","2014-02-27","700","불검출","불검출","적합"
"17","혼합제제","오사카부","2014-11-28","15","불검출","불검출","적합"
"18","기타천연착향료","사이타마현","2014-07-16","75","불검출","불검출","적합"
"19","캔디류(캐러멜)","도치기현","2014-11-06","4,146.84","불검출","불검출","적합"
"20","캔디류(캐러멜)","도치기현","2014-11-03","6,806.64","불검출","불검출","적합"
"21","소스류","지바현","2014-10-16","792","불검출","불검출","적합"
"22","양조간장","지바현","2014-10-27","789.75","불검출","불검출","적합"
"23","캔디류(캐러멜)","도치기현","2014-11-14","89.28","불검출","불검출","적합"
"24","곡류가공품","아이치현","2014-10-10","720","불검출","불검출","적합"
"25","혼합제제","사이타마현","2014-11-25","75","불검출","불검출","적합"
"26","과자(스낵과자)","아이치현","2014-10-30","31.2","불검출","불검출","적합"
"27","캔디류(양갱)","도쿄도","2014-11-11","258.24","불검출","불검출","적합"
"28","과자(스낵과자)","아이치현","2014-11-18","828","불검출","불검출","적합"
"29","프로테아제(곰팡
이성:SAP)","아이치현","2014-12-03","201","불검출","불검출","적합"
"30","캔디류(양갱)","아이치현","2014-11-12","864","불검출","불검출","적합"
"31","국수","지바현","2014-11-05","285","불검출","불검출","적합"
"32","기타가공품","시즈오카현","2014-10-20","2,700","불검출","불검출","적합"
"33","청주","돗토리현","2014-12-02","108","불검출","불검출","적합"
"34","청주","돗토리현","2014-11-21","86.4","불검출","불검출","적합"
"35","청주","돗토리현","2014-12-02","21.6","불검출","불검출","적합"
"36","혼합제제","오사카부","2014-12-02","60","불검출","불검출","적합"
"37","혼합제제","오사카부","2014-12-04","510","불검출","불검출","적합"
"38","혼합제제","오사카부","2014-11-21","16,104","불검출","불검출","적합"
"39","혼합제제","효고현","2014-11-18","17","불검출","불검출","적합"
"40","혼합제제","효고현","2014-12-03","17","불검출","불검출","적합"
"41","혼합제제","효고현","2014-11-18","17","불검출","불검출","적합"
"42","혼합제제","효고현","2014-11-18","85","불검출","불검출","적합"
"43","혼합제제","효고현","2014-11-13","17","불검출","불검출","적합"
"44","혼합제제","효고현","2014-11-17","17","불검출","불검출","적합"
