"순 번","품목명","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"45","복합조미식품","에히메현","2014-12-02","1,000","불검출","불검출","적합"
"46","혼합제제","사이타마현","2014-11-28","300","불검출","불검출","적합"
"47","볶은커피","시즈오카현","2014-11-14","3,000","불검출","불검출","적합"
"48","볶은커피","시즈오카현","2014-11-13","2,400","불검출","불검출","적합"
"49","기타가공품","야마구치현","2014-12-01","3","불검출","불검출","적합"
"50","혼합제제","가나가와현","2014-11-17","150","불검출","불검출","적합"
"51","혼합제제","시즈오카현","2014-11-26","1,175","불검출","불검출","적합"
"52","혼합제제","시즈오카현","2014-11-27","2,275","불검출","불검출","적합"
"53","캔디류(젤리)","아이치현","2014-09-12","212","불검출","불검출","적합"
"54","과자(비스킷)","아이치현","2014-11-20","75.6","불검출","불검출","적합"
"55","캔디류(젤리)","아이치현","2014-10-08","212","불검출","불검출","적합"
