"","","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"순번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","95건","","382,555","","",""
"1","청주","니가타현","2014-11-22","220.8","불검출","불검출","적합"
"2","소스류","지바현","2014-11-27","1,830.6","불검출","불검출","적합"
"3","L-글루타민산나트
륨","대한민국","2014-09-12","17,000","불검출","불검출","적합"
"4","과자(쿠키)","오사카부","2014-11-14","139","불검출","불검출","적합"
"5","캔디류(사탕)","시즈오카현","2014-10-02","198","불검출","불검출","적합"
"6","캔디류(사탕)","가나가와현","2014-10-02","240.48","불검출","불검출","적합"
"7","L-글루타민산나트
륨","대한민국","2014-09-11","36,880","불검출","불검출","적합"
"8","혼합제제","가나가와현","2014-12-17","5","불검출","불검출","적합"
"9","빵류(그외 빵류)","구마모토현","2015-01-15","820","불검출","불검출","적합"
"10","혼합제제","효고현","2015-01-16","15","불검출","불검출","적합"
"11","청주","니가타현","2014-12-30","3,532.8","불검출","불검출","적합"
"12","복합조미식품","훗카이도","2015-01-15","100","불검출","불검출","적합"
