"","","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"순번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","128건","","885,067","","",""
"1","드레싱","사가현","2014-12-04","4,500","불검출","불검출","적합"
"2","드레싱","오사카부","2014-12-12","90","불검출","불검출","적합"
"3","드레싱","오사카부","2014-12-25","1,980","불검출","불검출","적합"
"4","소스류","사가현","2014-11-06","360","불검출","불검출","적합"
"5","마요네즈","효고현","2014-12-25","400","불검출","불검출","적합"
"6","카레분","나라현","2014-12-23","600","불검출","불검출","적합"
"7","카레","나라현","2014-12-17","1,000","불검출","불검출","적합"
"8","카레","나라현","2014-11-27","400","불검출","불검출","적합"
"9","떡류","오사카부","2014-08-01","93.1","불검출","불검출","적합"
"10","캔디류(사탕)","오사카부","2014-09-01","96.9","불검출","불검출","적합"
"11","당류가공품","교토부","2014-07-01","110.2","불검출","불검출","적합"
"12","캔디류(사탕)","오사카부","2014-10-01","122.4","불검출","불검출","적합"
