"","","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"순번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","79건","","68,920","","",""
"1","밀크초콜릿","시즈오카현","2014-12-26","63.4","불검출","불검출","적합"
"2","밀크초콜릿","시즈오카현","2014-12-26","44","불검출","불검출","적합"
"3","밀크초콜릿","시즈오카현","2014-12-26","31.5","불검출","불검출","적합"
"4","밀크초콜릿","시즈오카현","2014-12-26","30","불검출","불검출","적합"
"5","밀크초콜릿","시즈오카현","2014-12-26","20.6","불검출","불검출","적합"
"6","밀크초콜릿","시즈오카현","2014-12-26","18","불검출","불검출","적합"
"7","밀크초콜릿","시즈오카현","2014-12-26","13.8","불검출","불검출","적합"
"8","패밀리밀크초콜릿","시즈오카현","2014-12-26","22.4","불검출","불검출","적합"
"9","패밀리밀크초콜릿","시즈오카현","2014-12-26","15","불검출","불검출","적합"
"10","캔디류(사탕)","미에현","2014-11-23","84","불검출","불검출","적합"
"11","캔디류(사탕)","미에현","2014-11-24","84","불검출","불검출","적합"
"12","떡류","니가타현","2014-12-22","936","불검출","불검출","적합"
