"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","100건","","921,987","","",""
"1","소스류","훗카이도","2014-06-17","1,380","불검출","불검출","적합"
"2","덱스트린","효고현","2013-11-29","12,800","불검출","불검출","적합"
"3","덱스트린","효고현","2014-04-18","25,600","불검출","불검출","적합"
"4","침출차","후쿠오카현","2014-06-30","13.5","불검출","불검출","적합"
"5","혼합제제","효고현","2014-07-14","34","불검출","불검출","적합"
"6","혼합제제","효고현","2014-07-14","34","불검출","불검출","적합"
"7","침출차","후쿠오카현","2014-06-30","18","불검출","불검출","적합"
"8","갈락토올리고당","훗카이도","2014-01-30","500","불검출","불검출","적합"
"9","혼합제제","효고현","2014-07-09","17","불검출","불검출","적합"
"10","혼합제제","효고현","2014-07-14","34","불검출","불검출","적합"
"11","과자(비스킷)","이바라키현","2014-06-05","100.8","불검출","불검출","적합"
"12","캔디류(사탕)","아이치현","2014-04-25","360","불검출","불검출","적합"
"13","과자(쿠키)","도쿠시마현","2014-06-27","1,380.92","불검출","불검출","적합"
"14","즉석조리식품","나가노현","2014-06-05","112.9","불검출","불검출","적합"
"15","즉석조리식품","나가노현","2014-06-05","112.9","불검출","불검출","적합"
"16","빵류(그외 빵류)","효고현","2014-07-01","140.4","불검출","불검출","적합"
"17","캔디류(젤리)","아이치현","2014-06-06","35.6","불검출","불검출","적합"
"18","어묵","사가현","2014-07-01","600","불검출","불검출","적합"
