"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","114건","","346,847","","",""
"1","농산물조림","도쿠시마현","2014-01-21","60","불검출","불검출","적합"
"2","혼합제제","오카야마현","2014-04-10","405","불검출","불검출","적합"
"3","과.채가공품","오카야마현","2014-03-25","9,600","불검출","불검출","적합"
"4","기타천연착향료","시즈오카현","2014-04-17","350","불검출","불검출","적합"
"5","혼합제제","사이타마현","2014-04-16","152","불검출","불검출","적합"
"6","혼합제제","사이타마현","2014-04-16","152","불검출","불검출","적합"
"7","혼합제제","사이타마현","2014-04-22","300","불검출","불검출","적합"
"8","빵류(케이크)","돗토리현","2014-04-28","1,799","불검출","불검출","적합"
"9","빵류(케이크)","돗토리현","2014-05-01","1,760","불검출","불검출","적합"
"10","혼합제제","와카야마현","2014-05-07","30","불검출","불검출","적합"
"11","된장","나가노현","2014-04-22","4,320","불검출","불검출","적합"
"12","혼합제제","사이타마현","2014-05-08","224","불검출","불검출","적합"
"13","프로테아제(곰팡이성:SAP)","아이치현","2014-03-26","41","불검출","불검출","적합"
"14","리큐르","시즈오카현","2014-04-02","420","불검출","불검출","적합"
"15","청주","교토부","2014-02-04","180","불검출","불검출","적합"
"16","청주","교토부","2014-02-10","432","불검출","불검출","적합"
"17","과자(크래커)","오사카부","2014-05-01","302.4","불검출","불검출","적합"
"18","청주","교토부","2013-11-18","91.8","불검출","불검출","적합"
