"검사결과
수입
제조일자
순번
품목명
제조·생산지
중량
세슘
요오드
(유통기한)
판정
(kg)
(기준:100Bq/kg)
(기준:300Bq/kg)","","","","","","",""
"","","","","","","",""
"10","볶은커피","효고현","2017-10-23","404","불검출","불검출","적합"
"11","볶은커피","효고현","2017-10-27","60","불검출","불검출","적합"
"12","볶은커피","효고현","2017-10-17","48","불검출","불검출","적합"
"13","볶은커피","효고현","2017-10-25","60","불검출","불검출","적합"
"14","효모추출물제품","오이타현","2017-06-20","1,000","불검출","불검출","적합"
"15","볶은커피","시즈오카현","2017-10-02","4,800","불검출","불검출","적합"
"16","효모식품","오이타현","2017-06-25","2,040","불검출","불검출","적합"
"17","기타가공품","지바현","2017-10-20","295","불검출","불검출","적합"
"18","비타민","시즈오카현","2017-09-29","45","불검출","불검출","적합"
"19","양조간장","훗카이도","2017-08-07","418","불검출","불검출","적합"
"20","가공유지","오사카부","2017-10-02","100","불검출","불검출","적합"
"21","국수","구마모토현","2017-11-06","929","불검출","불검출","적합"
"22","유탕면류","가고시마현","2017-10-05","351","불검출","불검출","적합"
"23","유탕면류","가고시마현","2017-10-02","343","불검출","불검출","적합"
"24","유탕면류","가고시마현","2017-10-05","1,661","불검출","불검출","적합"
"25","유탕면류","가고시마현","2017-10-02","1,353","불검출","불검출","적합"
"26","과자(쿠키)","니가타현","2017-10-17","380","불검출","불검출","적합"
"27","청주","아키타현","2017-11-02","514","불검출","불검출","적합"
"28","청주","아오모리현","2017-11-02","86","불검출","불검출","적합"
"29","과자(쿠키)","야마가타현","2017-10-11","357","불검출","불검출","적합"
"30","청주","도치기현","2017-10-27","5,616","불검출","불검출","적합"
"31","청주","도치기현","2017-08-24","2,722","불검출","불검출","적합"
"32","청주","도치기현","2017-10-17","2,074","불검출","불검출","적합"
"33","청주","도치기현","2017-10-17","1,037","불검출","불검출","적합"
"34","초콜릿가공품","훗카이도","2017-11-01","161","불검출","불검출","적합"
