"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 136건","","","","381,441","","",""
"1","기타가공품","지바현","2017-10-03","52","불검출","불검출","적합"
"2","국수","도야마현","2017-10-24","250","불검출","불검출","적합"
"3","액상차","도쿄도","2017-09-07","4,800","불검출","불검출","적합"
"4","기타가공품","기후현","2017-10-27","190","불검출","불검출","적합"
"5","과자(한과류)","도쿠시마현","2017-10-16","720","불검출","불검출","적합"
"6","캔디류(사탕)","아이치현","2017-09-02","576","불검출","불검출","적합"
"7","캔디류(사탕)","아이치현","2017-09-02","540","불검출","불검출","적합"
"8","캔디류(사탕)","미에현","2017-10-02","211","불검출","불검출","적합"
"9","캔디류(사탕)","미에현","2017-10-02","211","불검출","불검출","적합"
