"검사결과
수입
제조일자
순번
품목명
제조·생산지
중량
세슘
요오드
(유통기한)
판정
(kg)
(기준:100Bq/kg)
(기준:300Bq/kg)","","","","","","",""
"85","혼합제제","사이타마현","2017-09-12","100","불검출","불검출","적합"
"86","혼합제제","사이타마현","2017-10-27","24","불검출","불검출","적합"
"87","식초절임","아이치현","2017-10-23","900","불검출","불검출","적합"
"88","식초절임","아이치현","2017-10-23","2,700","불검출","불검출","적합"
"89","식초절임","아이치현","2017-10-23","900","불검출","불검출","적합"
"90","맥주","후쿠오카현","2017-11-02","139,584","불검출","불검출","적합"
"91","식초절임","아이치현","2017-10-23","1,944","불검출","불검출","적합"
"92","맥주","교토부","2017-10-21","149,648","불검출","불검출","적합"
"93","소스류","후쿠오카현","2017-10-16","1,036","불검출","불검출","적합"
"94","가공두부","후쿠오카현","2017-11-10","2,627","불검출","불검출","적합"
"95","혼합제제","사이타마현","2017-11-09","200","불검출","불검출","적합"
"96","소스류","군마현","2017-09-07","540","불검출","불검출","적합"
"97","폴리글리세린
지방산에스테르","미에현","2017-11-06","352","불검출","불검출","적합"
"98","혼합제제","도쿄도","2017-10-12","2,040","불검출","불검출","적합"
"99","혼합제제","오사카부","2017-11-07","170","불검출","불검출","적합"
"100","혼합제제","오사카부","2017-11-01","34","불검출","불검출","적합"
"101","혼합제제","오사카부","2017-11-06","136","불검출","불검출","적합"
"102","혼합제제","오사카부","2017-11-02","68","불검출","불검출","적합"
