"검사결과
수입
제조일자
순번
품목명
제조·생산지
중량
세슘
요오드
(유통기한)
판정
(kg)
(기준:100Bq/kg)
(기준:300Bq/kg)","","","","","","",""
"85","국수","효고현","2017-09-19","288","불검출","불검출","적합"
"86","초콜릿가공품","니가타현","2017-10-17","283","불검출","불검출","적합"
"87","숙면","효고현","2017-11-10","5,184","불검출","불검출","적합"
"88","당류가공품","교토부","2017-10-12","240","불검출","불검출","적합"
"89","밀크초콜릿","아이치현","2017-10-02","413","불검출","불검출","적합"
"90","염화마그네슘","오카야마현","2017-10-10","17,000","불검출","불검출","적합"
"91","기타가공품","오카야마현","2017-11-14","301","불검출","불검출","적합"
"92","초콜릿가공품","아이치현","2017-10-06","78","불검출","불검출","적합"
"93","기타코코아가공품","시즈오카현","2017-10-06","198","불검출","불검출","적합"
"94","소스류","사이타마현","2017-10-11","432","불검출","불검출","적합"
"95","소스류","히로시마현","2017-10-06","72","불검출","불검출","적합"
"96","과자(스낵과자)","사이타마현","2017-10-23","672","불검출","불검출","적합"
"97","식초절임
(매실절임)","와카야마현","2017-10-13","288","불검출","불검출","적합"
"98","코코아분말","가나가와현","2017-09-28","42","불검출","불검출","적합"
"99","과자(스낵과자)","니가타현","2017-10-25","1,326","불검출","불검출","적합"
"100","청주","사이타마현","2017-10-13","1,456","불검출","불검출","적합"
"101","효모추출물제품","오이타현","2017-07-10","100","불검출","불검출","적합"
"102","초콜릿","아이치현","2017-10-05","42","불검출","불검출","적합"
"103","시클로덱스트린
시럽","시즈오카현","2017-08-24","12,000","불검출","불검출","적합"
"104","혼합제제","오사카부","2017-11-07","17","불검출","불검출","적합"
"105","혼합제제","오사카부","2017-11-07","17","불검출","불검출","적합"
"106","혼합제제","오사카부","2017-11-08","10","불검출","불검출","적합"
