"검사결과
수입
제조일자
순번
품목명
제조·생산지
중량
세슘
요오드
(유통기한)
판정
(kg)
(기준:100Bq/kg)
(기준:300Bq/kg)","","","","","","",""
"107","캔디류(사탕)","미에현","2017-10-31","256","불검출","불검출","적합"
"108","수산물가공품","후쿠시마현","2017-10-26","600","불검출","불검출","적합"
"109","양조간장","후쿠오카현","2017-11-13","11,280","불검출","불검출","적합"
"110","조미된장","아이치현","2017-10-17","7,000","불검출","불검출","적합"
"111","복합조미식품","오사카부","2017-10-25","700","불검출","불검출","적합"
"112","조미된장","아이치현","2017-11-08","5,000","불검출","불검출","적합"
"113","유탕면류","아이치현","2017-10-31","92","불검출","불검출","적합"
"114","소스류","후쿠오카현","2017-11-14","3,639","불검출","불검출","적합"
"115","조미된장","아이치현","2017-11-10","2,088","불검출","불검출","적합"
"116","조미된장","아이치현","2017-11-09","3,000","불검출","불검출","적합"
"117","가공두부","오사카부","2017-11-15","6,000","불검출","불검출","적합"
"118","가공두부","오사카부","2017-11-15","18,000","불검출","불검출","적합"
"119","유탕면류","아이치현","2017-10-31","126","불검출","불검출","적합"
"120","수산물가공품","후쿠시마현","2017-08-24","180","불검출","불검출","적합"
"121","시클로덱스트린
시럽","시즈오카현","2017-08-29","5,000","불검출","불검출","적합"
"122","수산물가공품","후쿠시마현","2017-10-24","360","불검출","불검출","적합"
"123","수산물가공품","후쿠시마현","2017-10-25","720","불검출","불검출","적합"
"124","가공두부","후쿠오카현","2017-10-27","5,400","불검출","불검출","적합"
"125","맥주","후쿠오카현","2017-10-03","541,181","불검출","불검출","적합"
