"검사결과
수입
제조일자
순번
품목명
제조·생산지
중량
세슘
요오드
(유통기한)
판정
(kg)
(기준:100Bq/kg)
(기준:300Bq/kg)","","","","","","",""
"60","소스류","교토부","2017-10-13","2,394","불검출","불검출","적합"
"61","건어포류","가고시마현","2017-09-28","606","불검출","불검출","적합"
"62","소스류","교토부","2017-10-13","2,394","불검출","불검출","적합"
"63","소스류","교토부","2017-10-20","2,286","불검출","불검출","적합"
"64","소스류","교토부","2017-10-20","2,460","불검출","불검출","적합"
"65","소스류","교토부","2017-10-20","1,700","불검출","불검출","적합"
"66","청주","니가타현","2017-10-17","720","불검출","불검출","적합"
"67","소스류","교토부","2017-10-23","1,095","불검출","불검출","적합"
"68","소스류","교토부","2017-10-18","1,100","불검출","불검출","적합"
"69","혼합제제","오사카부","2017-11-01","15","불검출","불검출","적합"
"70","혼합제제","오사카부","2017-11-02","15","불검출","불검출","적합"
"71","혼합제제","오사카부","2017-10-31","15","불검출","불검출","적합"
"72","혼합제제","오사카부","2017-11-06","15","불검출","불검출","적합"
"73","초콜릿가공품","후쿠오카현","2017-10-12","2,544","불검출","불검출","적합"
"74","초콜릿가공품","후쿠오카현","2017-10-10","1,904","불검출","불검출","적합"
"75","혼합제제","오사카부","2017-11-09","17","불검출","불검출","적합"
"76","가공소금","오이타현","2017-07-12","11","불검출","불검출","적합"
"77","가공소금","오이타현","2017-07-13","11","불검출","불검출","적합"
"78","캔디류(젤리)","나가노현","2017-10-19","5,644","불검출","불검출","적합"
"79","액상차","오사카부","2017-10-04","4,032","불검출","불검출","적합"
"80","소스류","도치기현","2017-09-02","90","불검출","불검출","적합"
"81","글리신","가나가와현","2017-10-07","7,200","불검출","불검출","적합"
"82","캔디류(사탕)","야마구치현","2017-10-31","115","불검출","불검출","적합"
"83","청국장","구마모토현","2017-09-19","2,700","불검출","불검출","적합"
"84","복합조미식품","사이타마현","2017-09-29","2,000","불검출","불검출","적합"
