"검사결과
수입
제조일자
순번
품목명
제조·생산지
중량
세슘
요오드
(유통기한)
판정
(kg)
(기준:100Bq/kg)
(기준:300Bq/kg)","","","","","","",""
"60","혼합제제","오사카부","2017-11-01","34","불검출","불검출","적합"
"61","혼합제제","오사카부","2017-11-02","17","불검출","불검출","적합"
"62","패밀리밀크초콜릿","훗카이도","2017-11-01","148","불검출","불검출","적합"
"63","화이트초콜릿","훗카이도","2017-11-01","118","불검출","불검출","적합"
"64","화이트초콜릿","훗카이도","2017-11-01","74","불검출","불검출","적합"
"65","국수","구마모토현","2017-11-07","4,681","불검출","불검출","적합"
"66","청국장","가고시마현","2017-11-02","7,260","불검출","불검출","적합"
"67","액상차","오사카부","2017-09-26","367","불검출","불검출","적합"
"68","과자(스낵과자)","니가타현","2017-11-01","592","불검출","불검출","적합"
"69","밀가루","후쿠오카현","2017-10-13","3,200","불검출","불검출","적합"
"70","유탕면류","아이치현","2017-10-19","90","불검출","불검출","적합"
"71","백설탕","후쿠오카현","2017-09-08","100","불검출","불검출","적합"
"72","유탕면류","아이치현","2017-10-13","105","불검출","불검출","적합"
"73","유탕면류","아이치현","2017-10-18","135","불검출","불검출","적합"
"74","탄산음료","오사카부","2017-10-30","2,465","불검출","불검출","적합"
"75","캔디류(사탕)","미에현","2017-10-02","84","불검출","불검출","적합"
"76","캔디류(사탕)","미에현","2017-10-05","148","불검출","불검출","적합"
"77","캔디류(사탕)","미에현","2017-10-13","169","불검출","불검출","적합"
"78","L-트립토판","야마구치현","2017-07-25","200","불검출","불검출","적합"
"79","과자(스낵과자)","니가타현","2017-11-02","1,326","불검출","불검출","적합"
"80","식초절임","아이치현","2017-10-23","5,400","불검출","불검출","적합"
"81","혼합제제","사이타마현","2017-09-12","30","불검출","불검출","적합"
"82","소주","후쿠오카현","2017-11-03","130","불검출","불검출","적합"
"83","혼합제제","사이타마현","2017-09-15","120","불검출","불검출","적합"
"84","혼합제제","사이타마현","2017-09-12","80","불검출","불검출","적합"
