"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","67건","","295,248","","",""
"1","소스류","나가사키현","2014-05-09","505.2","불검출","불검출","적합"
"2","소스류","나가사키현","2014-05-21","249","불검출","불검출","적합"
"3","혼합제제","효고현","2014-07-22","40","불검출","불검출","적합"
"4","과자(쿠키)","이바라키현","2014-06-12","319","불검출","불검출","적합"
"5","국수","훗카이도","2014-01-25","60","불검출","불검출","적합"
"6","과자(크래커)","이바라키현","2014-06-25","457.5","불검출","불검출","적합"
"7","과자(크래커)","이바라키현","2014-06-05","274","불검출","불검출","적합"
"8","탄산음료","오사카부","2014-06-01","1,800","불검출","불검출","적합"
"9","캔디류(사탕)","아이치현","2006-10-16","120","불검출","불검출","적합"
"10","수산물가공품","후쿠이현","2014-07-01","7","불검출","불검출","적합"
"11","수산물가공품","훗카이도","2014-07-03","650","불검출","불검출","적합"
"12","과.채가공품","도치기현","2014-07-14","20","불검출","불검출","적합"
"13","과자(웨이퍼)","사이타마현","2014-06-03","2,791.8","불검출","불검출","적합"
"14","향미유","사이타마현","2014-07-11","2,854.5","불검출","불검출","적합"
"15","포스포디
에스테라아제","기후현","2014-07-03","11","불검출","불검출","적합"
"16","염화마그네슘","오카야마현","2014-06-19","12,000","불검출","불검출","적합"
