"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","91건","","220,829","","",""
"1","소스류","효고현","2014-03-12","84.7","불검출","불검출","적합"
"2","혼합음료","기후현","2014-02-27","45","불검출","불검출","적합"
"3","빵류(그외 빵류)","효고현","2014-06-04","140.4","불검출","불검출","적합"
"4","즉석조리식품","가나가와현","2014-06-16","9,123.28","불검출","불검출","적합"
"5","즉석조리식품","가나가와현","2014-06-19","8,665.69","불검출","불검출","적합"
"6","즉석조리식품","가나가와현","2014-06-17","7,405.62","불검출","불검출","적합"
"7","즉석조리식품","가나가와현","2014-06-23","5,925.19","불검출","불검출","적합"
"8","당류가공품","오사카부","2014-05-01","56.4","불검출","불검출","적합"
"9","당류가공품","오사카부","2014-05-01","61.2","불검출","불검출","적합"
"10","소스류","히로시마현","2014-06-24","1,188","불검출","불검출","적합"
"11","소스류","히로시마현","2014-04-18","360","불검출","불검출","적합"
"12","소스류","히로시마현","2014-06-17","100","불검출","불검출","적합"
"13","소스류","히로시마현","2014-06-18","72","불검출","불검출","적합"
"14","소스류","히로시마현","2014-06-10","180","불검출","불검출","적합"
"15","소스류","군마현","2014-06-30","1,200","불검출","불검출","적합"
"16","국수","지바현","2014-07-05","285","불검출","불검출","적합"
"17","소스류","에히메현","2014-07-07","1,080","불검출","불검출","적합"
"18","소스류","에히메현","2014-07-04","2,430","불검출","불검출","적합"
"19","발효식초","오사카부","2014-05-26","324","불검출","불검출","적합"
"20","국수","효고현","2014-05-19","92","불검출","불검출","적합"
"21","소스류","아이치현","2014-06-02","388.8","불검출","불검출","적합"
