"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","104건","","203,798","","",""
"1","소스류","후쿠오카현","2014-05-20","2,544","불검출","불검출","적합"
"2","곡류가공품","후쿠오카현","2014-05-21","980","불검출","불검출","적합"
"3","혼합제제","오사카부","2014-04-05","240","불검출","불검출","적합"
"4","혼합제제","오사카부","2014-05-02","128","불검출","불검출","적합"
"5","과자(웨이퍼)","니가타현","2014-04-24","77.04","불검출","불검출","적합"
"6","과자(비스킷)","아이치현","2014-05-12","50.4","불검출","불검출","적합"
"7","과자(비스킷)","아이치현","2014-05-12","75.6","불검출","불검출","적합"
"8","과자(비스킷)","아이치현","2014-04-25","156","불검출","불검출","적합"
"9","빵류(그외 빵류)","나가노현","2014-04-23","103.2","불검출","불검출","적합"
"10","캔디류(사탕)","아이치현","2014-04-25","720","불검출","불검출","적합"
"11","캔디류(사탕)","아이치현","2014-04-24","384","불검출","불검출","적합"
"12","향신료조제품","나가노현","2014-04-25","129","불검출","불검출","적합"
"13","과자(비스킷)","아이치현","2014-05-15","594","불검출","불검출","적합"
"14","기타발효음료","시즈오카현","2013-09-11","12.5","불검출","불검출","적합"
"15","카레","아오모리현","2014-04-21","170","불검출","불검출","적합"
"16","가공두부","오사카부","2014-03-07","64","불검출","불검출","적합"
"17","혼합제제","도쿄도","2014-05-08","30","불검출","불검출","적합"
"18","효소처리루틴","지바현","2013-10-02","500","불검출","불검출","적합"
