"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","49건","","112,402","","",""
"1","소스류","미에현","2014-02-20","133.2","불검출","불검출","적합"
"2","혼합제제","효고현","2014-05-16","200","불검출","불검출","적합"
"3","혼합제제","효고현","2014-05-14","75","불검출","불검출","적합"
"4","혼합제제","효고현","2014-04-25","30","불검출","불검출","적합"
"5","기타주류","시즈오카현","2014-05-12","54","불검출","불검출","적합"
"6","청주","시즈오카현","2014-04-18","108","불검출","불검출","적합"
"7","기타주류","시즈오카현","2014-04-24","317","불검출","불검출","적합"
"8","기타주류","시즈오카현","2014-03-23","118","불검출","불검출","적합"
"9","혼합제제","이바라키현","2014-04-21","240","불검출","불검출","적합"
"10","혼합제제","이바라키현","2014-04-15","320","불검출","불검출","적합"
"11","기타천연착향료","이바라키현","2014-04-16","60","불검출","불검출","적합"
"12","혼합제제","이바라키현","2014-04-22","1,200","불검출","불검출","적합"
"13","혼합제제","이바라키현","2014-04-14","480","불검출","불검출","적합"
"14","혼합제제","가나가와현","2014-04-22","60","불검출","불검출","적합"
"15","혼합제제","가나가와현","2014-04-17","90","불검출","불검출","적합"
"16","혼합제제","가나가와현","2014-04-17","75","불검출","불검출","적합"
"17","비타민B1라우릴황산염","오사카부","2014-04-19","1,000","불검출","불검출","적합"
"18","락타아제","아오모리현","2013-12-23","300","불검출","불검출","적합"
"19","고형차","시즈오카현","2014-05-09","8,000","불검출","불검출","적합"
"20","캔디류(사탕)","아이치현","2014-05-15","1,920","불검출","불검출","적합"
"21","캔디류(사탕)","아이치현","2014-05-16","2,700","불검출","불검출","적합"
