"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","건28","-","-","108,104","-","-","-"
"1","활가리비","홋카이도","2016-01-08","7,000","불검출","불검출","적합"
"2","활꼬막 새꼬막
(
)","사가현","2016-01-08","3,300","불검출","불검출","적합"
"3","냉동준치","나가사키현","2016-01-08","2,288","불검출","불검출","적합"
"4","활우렁쉥이","홋카이도","2016-01-08","9,650","불검출","불검출","적합"
"5","활우렁쉥이","홋카이도","2016-01-08","9,790","불검출","불검출","적합"
"6","활우렁쉥이","홋카이도","2016-01-08","17,760","불검출","불검출","적합"
"7","활우렁쉥이","홋카이도","2016-01-08","17,197","불검출","불검출","적합"
"8","활우렁쉥이","홋카이도","2016-01-08","9,012","불검출","불검출","적합"
"9","냉장갈치","오이타현","2016-01-08","1,300","불검출","불검출","적합"
"10","냉장갈치","야마구치현","2016-01-08","1,035","불검출","불검출","적합"
"11","냉장홍어","야마구치현","2016-01-08","120","불검출","불검출","적합"
"12","냉장명태","홋카이도","2016-01-08","3,000","불검출","불검출","적합"
"13","냉장갈치","오이타현","2016-01-08","855","불검출","불검출","적합"
