"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","건25","-","-","70,702","-","-","-"
"1","활돔 참돔(
)","나가사키현","2016-01-11","5,453","불검출","불검출","적합"
"2","활방어","나가사키현","2016-01-11","3,739","불검출","불검출","적합"
"3","냉동갈치","오키나와현","2016-01-11","80","불검출","불검출","적합"
"4","활우렁쉥이","홋카이도","2016-01-11","4,280","불검출","불검출","적합"
"5","활우렁쉥이","홋카이도","2016-01-11","5,110","불검출","불검출","적합"
"6","활우렁쉥이","홋카이도","2016-01-11","6,960","불검출","불검출","적합"
"7","냉장명태","홋카이도","2016-01-11","7,000","불검출","불검출","적합"
"8","냉장명태","홋카이도","2016-01-11","5,000","불검출","불검출","적합"
"9","냉장명태","홋카이도","2016-01-11","2,000","불검출","불검출","적합"
"10","냉장명태","홋카이도","2016-01-11","4,200","불검출","불검출","적합"
"11","냉장명태","홋카이도","2016-01-11","4,200","불검출","불검출","적합"
"12","활꼬막","후쿠오카현","2016-01-11","1,120","불검출","불검출","적합"
"13","활꼬막 새꼬막
(
)","후쿠오카현","2016-01-11","4,500","불검출","불검출","적합"
"14","냉장갈치","오이타현","2016-01-11","220","불검출","불검출","적합"
