"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"17","냉장명태","홋카이도","2015-10-22","6,460","불검출","불검출","적합"
"18","냉장갈치","오이타현","2015-10-22","416","불검출","불검출","적합"
"19","냉장돔 황돔(
)","야마구치현","2015-10-22","400","불검출","불검출","적합"
"20","냉장민어 수조기
(
)","야마구치현","2015-10-22","46","불검출","불검출","적합"
"21","냉장가오리","야마구치현","2015-10-22","310","불검출","불검출","적합"
"22","냉장홍어","야마구치현","2015-10-22","390","불검출","불검출","적합"
"23","냉장명태","홋카이도","2015-10-22","4,090","불검출","불검출","적합"
"24","냉장홍어","홋카이도","2015-10-22","491","불검출","불검출","적합"
"25","냉장홍어","홋카이도","2015-10-22","2,863","불검출","불검출","적합"
"26","냉장명태","홋카이도","2015-10-22","3,000","불검출","불검출","적합"
"27","냉장명태","홋카이도","2015-10-22","4,090","불검출","불검출","적합"
"28","냉장홍어","홋카이도","2015-10-22","622","불검출","불검출","적합"
"29","냉장홍어","홋카이도","2015-10-22","358","불검출","불검출","적합"
"30","활장어 먹장어
(
)","후쿠오카현","2015-10-22","1,523","불검출","불검출","적합"
"31","활장어 먹장어
(
)","시마네현","2015-10-22","1,047","불검출","불검출","적합"
"32","활장어 먹장어
(
)","후쿠오카현","2015-10-22","2,291","불검출","불검출","적합"
