"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","건20","-","-","60,923","-","-","-"
"1","활가리비","홋카이도","2015-10-23","6,546","불검출","불검출","적합"
"2","냉동붉평치","대서양","2015-10-23","1,636","불검출","불검출","적합"
"3","냉동상어
(
청상아리
,F)","태평양","2015-10-23","1,330","불검출","불검출","적합"
"4","냉동상어
(
청상아리
,F)","대서양","2015-10-23","805","불검출","불검출","적합"
"5","냉동오징어","나가사키현","2015-10-23","6","불검출","불검출","적합"
"6","냉동오징어
(
화살오징어
)","나가사키현","2015-10-23","12","불검출","불검출","적합"
"7","냉장고등어
자숙(
,
F)","나가사키현","2015-10-23","8","불검출","불검출","적합"
"8","활우렁쉥이","홋카이도","2015-10-23","4,945","불검출","불검출","적합"
"9","활우렁쉥이","홋카이도","2015-10-23","3,690","불검출","불검출","적합"
"10","활우렁쉥이","홋카이도","2015-10-23","8,975","불검출","불검출","적합"
"11","냉장갈치","오이타현","2015-10-23","2,035","불검출","불검출","적합"
"12","냉장갈치","야마구치현","2015-10-23","40","불검출","불검출","적합"
"13","냉장갈치","에히메현","2015-10-23","620","불검출","불검출","적합"
"14","냉장돔 황돔(
)","후쿠오카현","2015-10-23","55","불검출","불검출","적합"
"15","냉장갈치","와카야마현","2015-10-23","3,276","불검출","불검출","적합"
"16","냉장돔 참돔(
)","후쿠오카현","2015-10-23","165","불검출","불검출","적합"
