"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","건26","-","-","62,484","-","-","-"
"1","활가리비","홋카이도","2015-10-26","13,600","불검출","불검출","적합"
"2","냉동가리비
(
외투막
)","홋카이도","2015-10-26","24,000","불검출","불검출","적합"
"3","냉장가리비살
자숙(
)","나가사키현","2015-10-26","3","불검출","불검출","적합"
"4","냉장가리비 자숙(
)","나가사키현","2015-10-26","4","불검출","불검출","적합"
"5","냉장홍어","홋카이도","2015-10-26","1,458","불검출","불검출","적합"
"6","냉장갈치","와카야마현","2015-10-26","376","불검출","불검출","적합"
"7","냉장돔 황돔(
)","야마구치현","2015-10-26","326","불검출","불검출","적합"
"8","냉장민어 수조기
(
)","야마구치현","2015-10-26","84","불검출","불검출","적합"
"9","냉장갈치","야마구치현","2015-10-26","980","불검출","불검출","적합"
"10","냉동다랑어
(
눈다랑어 목살
,
)","대서양","2015-10-26","2,680","불검출","불검출","적합"
"11","냉동다랑어
(
눈다랑어 횟감
,F,
)","대서양","2015-10-26","1,299","불검출","불검출","적합"
"12","냉장명태","홋카이도","2015-10-26","1,992","불검출","불검출","적합"
"13","냉장명태","홋카이도","2015-10-26","1,536","불검출","불검출","적합"
"14","냉장갈치","와카야마현","2015-10-26","1,648","불검출","불검출","적합"
"15","냉장갈치","오이타현","2015-10-26","935","불검출","불검출","적합"
"16","냉장갈치","에히메현","2015-10-26","300","불검출","불검출","적합"
