"순번","품목명","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"","","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","121","","215,884","","",""
"1","혼합제제","도쿄도","2016-12-21","125","불검출","불검출","적합"
"2","빵류(케이크)","나가노현","2017-01-11","180","불검출","불검출","적합"
"3","합성착향료","야마가타현","2017-01-17","31","불검출","불검출","적합"
"4","혼합제제","효고현","2017-01-19","17","불검출","불검출","적합"
"5","액상차","기후현","","570","불검출","불검출","적합"
"6","맥주","이와테현","2016-12-09","725","불검출","불검출","적합"
"7","혼합제제","도쿄도","2016-12-21","600","불검출","불검출","적합"
"8","캔디류(사탕)","미에현","2016-12-26","127","불검출","불검출","적합"
"9","캔디류(젤리)","아이치현","2017-01-13","1,296","불검출","불검출","적합"
"10","빵류(도넛)","구마모토현","2017-01-20","1,798","불검출","불검출","적합"
"11","혼합제제","오사카부","2017-01-16","17","불검출","불검출","적합"
"12","국수","아키타현","2016-08-15","4,218","불검출","불검출","적합"
