"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","103건","","550,396","","",""
"1","청주","도치기현","2014-01-08","86.4","불검출","불검출","적합"
"2","과.채가공품","와카야마현","2014-03-07","2,132","불검출","불검출","적합"
"3","청주","니가타현","2014-03-04","86.4","불검출","불검출","적합"
"4","오메가-3지방산함유유지(원료성)","이바라키현","2013-12-12","16","불검출","불검출","적합"
"5","당류가공품","오카야마현","2014-02-26","16,000","불검출","불검출","적합"
"6","혼합제제","오카야마현","2014-03-26","60","불검출","불검출","적합"
"7","청주","효고현","2014-01-16","2,700","불검출","불검출","적합"
"8","트랜스글루타미나아제","가나가와현","2014-02-07","400","불검출","불검출","적합"
"9","복합조미식품","가나가와현","2014-01-31","800","불검출","불검출","적합"
"10","청주","효고현","2014-01-17","216","불검출","불검출","적합"
"11","기타가공품","시즈오카현","2014-01-13","2,700","불검출","불검출","적합"
"12","혼합제제","가나가와현","2014-04-07","50","불검출","불검출","적합"
"13","소스류","가나가와현","2014-01-25","100","불검출","불검출","적합"
"14","혼합제제","시즈오카현","2014-03-24","100","불검출","불검출","적합"
"15","청주","효고현","2013-12-24","1,512","불검출","불검출","적합"
"16","청주","도치기현","2014-03-13","1,360.8","불검출","불검출","적합"
