"순번","품목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"21","냉장갈치","와카야마현","2014-04-22","1,864","불검출","불검출","적합"
"22","냉장갈치","와카야마현","2014-04-22","192","불검출","불검출","적합"
"23","냉장민어(수조기)","야마구치현","2014-04-22","144","불검출","불검출","적합"
"24","활돔(돌돔)","미야자키현","2014-04-22","689","불검출","불검출","적합"
"25","활가리비","홋카이도","2014-04-22","7,208","불검출","불검출","적합"
"26","활가리비","홋카이도","2014-04-22","6,896","불검출","불검출","적합"
"27","활돔(돌돔)","나가사키현","2014-04-22","747","불검출","불검출","적합"
"28","냉장준치","구마모토현","2014-04-22","637","불검출","불검출","적합"
"29","냉장갈치","에히메현","2014-04-22","656","불검출","불검출","적합"
"30","냉장갈치","효고현","2014-04-22","152","불검출","불검출","적합"
"31","냉장갈치","와카야마현","2014-04-22","848","불검출","불검출","적합"
