"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","91건","","218,337","","",""
"1","키토산/키토올리고당제품","교토부","2014-01-01","110","불검출","불검출","적합"
"2","맥주","오이타현","2014-03-05","49,668","불검출","불검출","적합"
"3","기타식용유지","훗카이도","2014-02-12","180","불검출","불검출","적합"
"4","기타가공품","효고현","2014-03-13","11,880","불검출","불검출","적합"
"5","폴리글리세린지방산에스테르","미에현","2013-09-10","200","불검출","불검출","적합"
"6","소스류","훗카이도","2014-01-26","5,120","불검출","불검출","적합"
"7","청국장","구마모토현","2014-03-24","3,000","불검출","불검출","적합"
"8","혼합제제","사이타마현","2014-03-10","600","불검출","불검출","적합"
"9","당류가공품","오카야마현","2014-03-27","1,320","불검출","불검출","적합"
"10","기타천연착향료","시즈오카현","2014-03-27","450","불검출","불검출","적합"
"11","혼합제제","이바라키현","2014-02-26","300","불검출","불검출","적합"
"12","혼합제제","사이타마현","2014-03-25","248","불검출","불검출","적합"
"13","소스류","에히메현","2014-04-01","1,800","불검출","불검출","적합"
"14","말티톨시럽","시즈오카현","2014-03-28","15,000","불검출","불검출","적합"
"15","합성착향료","야마가타현","2014-03-13","33","불검출","불검출","적합"
"16","소스류","가나가와현","2014-03-19","272.25","불검출","불검출","적합"
