"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","72건","","216,103","","",""
"1","국수","사이타마현","2014-11-05","4,320","불검출","불검출","적합"
"2","양조간장","지바현","2014-10-31","1,800","불검출","불검출","적합"
"3","곡류가공품","아이치현","2014-10-21","18.9","불검출","불검출","적합"
"4","청주","니가타현","2014-10-24","25,920","불검출","불검출","적합"
"5","빵류(케이크)","효고현","2014-11-04","199.68","불검출","불검출","적합"
"6","혼합제제","후쿠오카현","2014-11-06","120","불검출","불검출","적합"
"7","조미된장","나가노현","2014-10-28","800","불검출","불검출","적합"
"8","조미된장","나가노현","2014-10-29","1,500","불검출","불검출","적합"
"9","된장","나가노현","2014-10-28","1,600","불검출","불검출","적합"
"10","혼합장","나가노현","2014-10-29","1,728","불검출","불검출","적합"
"11","혼합장","나가노현","2014-10-27","1,152","불검출","불검출","적합"
"12","기타가공품","나가노현","2014-10-27","307.2","불검출","불검출","적합"
