"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 85건","","","","693,047","","",""
"1","과자(스낵과자)","니가타현","2017-05-08","318","불검출","불검출","적합"
"2","피틴산","와카야마현","2017-05-26","300","불검출","불검출","적합"
"3","개별인정형건강기
능식품","훗카이도","2017-01-27","180","불검출","불검출","적합"
"4","혼합제제","가나가와현","2017-05-09","60","불검출","불검출","적합"
"5","혼합제제","오사카부","2017-06-05","15","불검출","불검출","적합"
"6","혼합제제","오사카부","2017-06-05","30","불검출","불검출","적합"
"7","프로테아제(곰팡이
성:SAP)","아이치현","2017-03-14","11","불검출","불검출","적합"
"8","혼합제제","효고현","2017-06-01","17","불검출","불검출","적합"
"9","혼합제제","효고현","2017-06-01","17","불검출","불검출","적합"
"10","혼합제제","효고현","2017-06-01","17","불검출","불검출","적합"
"11","맥주","오이타현","2017-04-28","231,840","불검출","불검출","적합"
"12","즉석조리식품","나가노현","2017-05-17","1,200","불검출","불검출","적합"
