"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 151건","","","","1,095,121","","",""
"1","캔디류","후쿠오카현","2018-09-12","4,500","불검출","불검출","적합"
"2","캔디류","후쿠오카현","2018-09-26","4,500","불검출","불검출","적합"
"3","전분","가고시마현","2017-11-27","37,000","불검출","불검출","적합"
"4","소스","에히메현","2018-11-08","1,940","불검출","불검출","적합"
"5","청주","효고현","2018-10-11","360","불검출","불검출","적합"
"6","청주","효고현","2018-10-10","1,440","불검출","불검출","적합"
"7","청주","효고현","2018-10-10","2,160","불검출","불검출","적합"
"8","청주","효고현","2018-10-10","720","불검출","불검출","적합"
"9","캔디류","도야마현","2018-09-02","42","불검출","불검출","적합"
"10","양조간장","지바현","2018-10-05","255","불검출","불검출","적합"
"11","소스","지바현","2018-10-02","1,270","불검출","불검출","적합"
"12","액상차","미에현","2018-09-20","600","불검출","불검출","적합"
"13","액상차","훗카이도","2018-09-02","1,200","불검출","불검출","적합"
"14","소스","지바현","2018-09-19","312","불검출","불검출","적합"
