"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","129건","","707,309","","",""
"1","침출차","고치현","2014-07-10","10.8","불검출","불검출","적합"
"2","액상차","후쿠이현","2014-08-11","300","불검출","불검출","적합"
"3","소스류","군마현","2014-09-12","48","불검출","불검출","적합"
"4","캔디류(사탕)","도쿄도","2014-09-24","24","불검출","불검출","적합"
"5","캔디류(사탕)","도쿄도","2014-09-22","24.3","불검출","불검출","적합"
"6","국수","훗카이도","2014-09-14","54","불검출","불검출","적합"
"7","청주","효고현","2014-09-03","1,080","불검출","불검출","적합"
"8","과자(쿠키)","시즈오카현","2014-08-02","190","불검출","불검출","적합"
"9","초콜릿가공품","후쿠오카현","2014-08-11","2,171","불검출","불검출","적합"
"10","기타가공품","오사카부","2014-02-03","10","불검출","불검출","적합"
"11","혼합제제","미에현","2014-09-01","108","불검출","불검출","적합"
"12","혼합제제","미에현","2014-10-02","198","불검출","불검출","적합"
"13","혼합제제","시가현","2014-10-28","25","불검출","불검출","적합"
"14","혼합제제","시가현","2014-10-27","25","불검출","불검출","적합"
"15","밀크초콜릿","가나가와현","2014-10-08","1,555.2","불검출","불검출","적합"
"16","볶은커피","미에현","2014-08-28","86.4","불검출","불검출","적합"
"17","볶은커피","미에현","2014-08-22","86.4","불검출","불검출","적합"
