"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","91건","","1,102,777","","",""
"1","떡류","니가타현","2014-09-17","99","불검출","불검출","적합"
"2","발효식초","도쿄도","2014-09-17","115.2","불검출","불검출","적합"
"3","소스류","도쿄도","2014-10-06","115.2","불검출","불검출","적합"
"4","파스타류","이탈리아","2013-12-06","408","불검출","불검출","적합"
"5","수산물가공품","아오모리현","2014-09-24","13.4","불검출","불검출","적합"
"6","즉석조리식품","사가현","2014-09-24","24.6","불검출","불검출","적합"
"7","즉석조리식품","효고현","2014-09-17","38.5","불검출","불검출","적합"
"8","국수","훗카이도","2014-09-16","65.2","불검출","불검출","적합"
"9","국수","훗카이도","2014-09-12","54.7","불검출","불검출","적합"
"10","혼합제제","효고현","2014-10-15","4,000","불검출","불검출","적합"
"11","감자전분","효고현","2014-09-24","9,875","불검출","불검출","적합"
"12","식이섬유","도치기현","2014-07-07","176.36","불검출","불검출","적합"
"13","과자(비스킷)","사이타마현","2014-09-18","1,482.3","불검출","불검출","적합"
"14","기타식용유지","훗카이도","2014-09-16","192","불검출","불검출","적합"
"15","과자(스낵과자)","이바라키현","2014-10-17","1,800","불검출","불검출","적합"
"16","과자(스낵과자)","이바라키현","2014-08-02","987.3","불검출","불검출","적합"
"17","청주","이바라키현","2014-10-07","1,426.39","불검출","불검출","적합"
